invoice_id,branch,city,customer_type,gender,product_line,date,time,payment_method,rating,unit_price,quantity_sold,COGS,VAT,gross_profit,net_profit,time_of_the_day,day_name,month_name,product_line_status
101-17-6199,A,Yangon,Normal,Male,"Food and beverages",2019-03-13,19:44:00,"Credit card",7.0,45.79,7,320.53,16.0265,336.5565,304.5035,Evening,Wednesday,March,Good
101-81-4070,C,Naypyitaw,Member,Female,"Health and beauty",2019-01-17,12:36:00,Ewallet,4.9,62.82,2,125.64,6.2820,131.9220,119.3580,Afternoon,Thursday,January,Bad
102-06-2002,C,Naypyitaw,Member,Male,"Sports and travel",2019-03-20,17:52:00,Cash,6.1,25.25,5,126.25,6.3125,132.5625,119.9375,Evening,Wednesday,March,Bad
102-77-2261,C,Naypyitaw,Member,Male,"Health and beauty",2019-03-05,18:02:00,"Credit card",4.2,65.31,7,457.17,22.8585,480.0285,434.3115,Evening,Tuesday,March,Good
105-10-6182,A,Yangon,Member,Male,"Fashion accessories",2019-02-27,12:22:00,Ewallet,6.6,21.48,2,42.96,2.1480,45.1080,40.8120,Afternoon,Wednesday,February,Bad
105-31-1824,A,Yangon,Member,Male,"Sports and travel",2019-02-01,15:10:00,"Credit card",8.5,69.52,7,486.64,24.3320,510.9720,462.3080,Afternoon,Friday,February,Good
106-35-6779,A,Yangon,Member,Male,"Home and lifestyle",2019-03-27,11:26:00,Cash,5.8,44.34,2,88.68,4.4340,93.1140,84.2460,Morning,Wednesday,March,Bad
109-28-2512,B,Mandalay,Member,Female,"Fashion accessories",2019-01-07,15:01:00,Ewallet,9.9,97.61,6,585.66,29.2830,614.9430,556.3770,Afternoon,Monday,January,Good
109-86-4363,B,Mandalay,Member,Female,"Sports and travel",2019-02-14,11:36:00,"Credit card",4.5,60.08,7,420.56,21.0280,441.5880,399.5320,Morning,Thursday,February,Good
110-05-6330,C,Naypyitaw,Normal,Female,"Food and beverages",2019-03-25,20:18:00,"Credit card",9.4,39.43,6,236.58,11.8290,248.4090,224.7510,Evening,Monday,March,Bad
110-48-7033,B,Mandalay,Member,Male,"Fashion accessories",2019-01-29,14:12:00,Cash,9.0,32.62,4,130.48,6.5240,137.0040,123.9560,Afternoon,Tuesday,January,Bad
114-35-5271,B,Mandalay,Normal,Female,"Electronic accessories",2019-02-07,15:06:00,Cash,8.1,57.91,8,463.28,23.1640,486.4440,440.1160,Afternoon,Thursday,February,Good
